interview_id,source_id,candidate_name,role_norm,role_display,role_family,decision,reason_category,is_requirement_leak,resume_word_count,transcript_word_count
59,KotaSai151,Yagna Gupta,software developer,Software Developer,Software Engineering,reject,Technical Skills,false,421,643
60,KotaSai152,Disha Reddy,data scientist,Data Scientist,Data & AI,reject,Problem Solving,false,357,664
61,KotaSai153,Bani Basu,data scientist,Data Scientist,Data & AI,select,Culture & Adaptability,false,296,738
62,KotaSai154,Wriddhish Garg,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,352,750
63,KotaSai155,Varsha Kapoor,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,384,676
64,KotaSai156,Shray Jain,software developer,Software Developer,Software Engineering,reject,Problem Solving,false,379,631
65,KotaSai157,Eshani Ruparel,data scientist,Data Scientist,Data & AI,reject,Experience & Domain Fit,false,510,570
66,KotaSai158,Charvi Bhatt,software developer,Software Developer,Software Engineering,select,Leadership & Communication,false,283,750
67,KotaSai159,Eashan Patel,software developer,Software Developer,Software Engineering,reject,Problem Solving,false,421,663
68,KotaSai16,Bhuv Raj,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,260,702
69,KotaSai160,Charvi Mishra,software developer,Software Developer,Software Engineering,reject,Leadership & Communication,false,346,645
70,KotaSai161,Praneel Shah,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,380,772
71,KotaSai162,Wriddhish Bhatt,data scientist,Data Scientist,Data & AI,reject,Technical Skills,false,464,783
72,KotaSai163,Rijul Joshi,project manager,Project Manager,Product & Business,reject,Experience & Domain Fit,false,425,651
73,KotaSai164,Saanjh Jain,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,233,835
74,KotaSai165,Gargi Rai,data scientist,Data Scientist,Data & AI,reject,Problem Solving,false,406,716
75,KotaSai166,Pratiti Bhat,data scientist,Data Scientist,Data & AI,select,Culture & Adaptability,false,268,615
76,KotaSai167,Malay Chawla,software developer,Software Developer,Software Engineering,reject,Technical Skills,false,376,591
77,KotaSai168,Harshini Kumar,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,302,657
78,KotaSai169,Vanshika Gupta,project manager,Project Manager,Product & Business,select,Culture & Adaptability,false,305,701
79,KotaSai17,Zoya Ghosh,data scientist,Data Scientist,Data & AI,reject,Leadership & Communication,false,415,646
80,KotaSai170,Naina Ghosh,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,393,650
81,KotaSai171,Palash Seth,data scientist,Data Scientist,Data & AI,reject,Leadership & Communication,false,435,624
82,KotaSai172,Uttam Choudhury,software developer,Software Developer,Software Engineering,reject,Problem Solving,false,459,683
83,KotaSai173,Forum Sharma,software developer,Software Developer,Software Engineering,select,Culture & Adaptability,false,345,657
84,KotaSai174,Bani Joshi,data scientist,Data Scientist,Data & AI,reject,Technical Skills,false,423,668
85,KotaSai175,Vanshika Shukla,project manager,Project Manager,Product & Business,select,Culture & Adaptability,false,308,688
86,KotaSai176,Iksha Joshi,software developer,Software Developer,Software Engineering,reject,Technical Skills,false,345,580
87,KotaSai177,Bani Singh,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,308,680
88,KotaSai178,Aaditya Agarwal,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,334,799
89,KotaSai179,Harini Joshi,project manager,Project Manager,Product & Business,reject,Leadership & Communication,false,308,637
90,KotaSai18,Kanha Garg,project manager,Project Manager,Product & Business,select,Culture & Adaptability,false,350,819
91,KotaSai180,Bani Saxena,project manager,Project Manager,Product & Business,reject,Technical Skills,false,455,643
92,KotaSai181,Hyma Garg,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,401,617
93,KotaSai182,Lahar Naidu,software developer,Software Developer,Software Engineering,reject,Experience & Domain Fit,false,279,739
94,KotaSai183,Eshani Sharma,data scientist,Data Scientist,Data & AI,reject,Problem Solving,false,399,817
95,KotaSai184,Palash Kumar,data scientist,Data Scientist,Data & AI,reject,Problem Solving,false,360,768
96,KotaSai185,Ojas Chopra,software developer,Software Developer,Software Engineering,select,Leadership & Communication,false,287,643
97,KotaSai186,Kashvi Das,data scientist,Data Scientist,Data & AI,reject,Technical Skills,false,493,733
98,KotaSai187,Janki Mittal,software developer,Software Developer,Software Engineering,select,Leadership & Communication,false,350,669
99,KotaSai188,Bani Basu,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,5,680
100,KotaSai189,Eashan Gupta,project manager,Project Manager,Product & Business,reject,Problem Solving,false,500,775
101,KotaSai19,Zoya Chawla,software developer,Software Developer,Software Engineering,reject,Leadership & Communication,false,303,833
102,KotaSai190,Forum Bhardwaj,data scientist,Data Scientist,Data & AI,reject,Technical Skills,false,371,674
103,KotaSai191,Bani Soni,project manager,Project Manager,Product & Business,reject,Experience & Domain Fit,false,398,631
104,KotaSai192,Hyma Mittal,software developer,Software Developer,Software Engineering,select,Culture & Adaptability,false,289,749
105,KotaSai193,Kripal Thakur,project manager,Project Manager,Product & Business,select,Culture & Adaptability,false,342,750
106,KotaSai194,Aayu Khandelwal,project manager,Project Manager,Product & Business,reject,Experience & Domain Fit,false,470,918
107,KotaSai195,Gina Bhardwaj,software developer,Software Developer,Software Engineering,reject,Problem Solving,false,389,737
108,KotaSai196,Mahin Tiwari,software developer,Software Developer,Software Engineering,select,Culture & Adaptability,false,261,559
109,KotaSai197,Yashika Gupta,software developer,Software Developer,Software Engineering,select,Leadership & Communication,false,321,777
110,KotaSai198,Rachna Rathore,software developer,Software Developer,Software Engineering,select,Culture & Adaptability,false,396,715
111,KotaSai199,Janki Garg,software developer,Software Developer,Software Engineering,reject,Problem Solving,false,416,759
112,KotaSai2,Praneel Iyer,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,338,623
113,KotaSai20,Viral Ghosh,project manager,Project Manager,Product & Business,reject,Leadership & Communication,false,364,723
114,KotaSai200,Viral Chopra,project manager,Project Manager,Product & Business,reject,Problem Solving,false,399,584
115,KotaSai21,Larisa Ruparel,software developer,Software Developer,Software Engineering,select,Leadership & Communication,false,365,845
116,KotaSai22,Taksha Mehta,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,378,658
117,KotaSai23,Larisa Soni,software developer,Software Developer,Software Engineering,reject,Technical Skills,false,398,593
118,KotaSai24,Shray Bhatt,software developer,Software Developer,Software Engineering,reject,Technical Skills,false,453,632
119,KotaSai25,Ekta Tiwari,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,256,844
120,KotaSai26,Manav Kapoor,data scientist,Data Scientist,Data & AI,reject,Leadership & Communication,false,320,859
121,KotaSai27,Niraj Mittal,software developer,Software Developer,Software Engineering,select,Culture & Adaptability,false,331,562
122,KotaSai28,Ovin Chowdhury,data scientist,Data Scientist,Data & AI,reject,Problem Solving,false,464,549
123,KotaSai29,Snehal Tiwari,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,382,827
124,KotaSai3,Shray Bansal,project manager,Project Manager,Product & Business,reject,Leadership & Communication,false,396,631
125,KotaSai30,Hyma Verma,project manager,Project Manager,Product & Business,reject,Leadership & Communication,false,405,687
126,KotaSai31,Ekta Bansal,project manager,Project Manager,Product & Business,reject,Technical Skills,false,354,806
127,KotaSai32,Hans Shah,data scientist,Data Scientist,Data & AI,reject,Leadership & Communication,false,397,594
128,KotaSai33,Shray Gupta,project manager,Project Manager,Product & Business,reject,Experience & Domain Fit,false,409,617
129,KotaSai34,Ujjwal Gupta,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,281,696
130,KotaSai35,Daiwik Kumari,data scientist,Data Scientist,Data & AI,reject,Problem Solving,false,348,813
131,KotaSai36,Namrata Mishra,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,349,824
132,KotaSai37,Forum Agarwal,software developer,Software Developer,Software Engineering,reject,Technical Skills,false,536,661
133,KotaSai38,Jagrav Bedi,project manager,Project Manager,Product & Business,select,Culture & Adaptability,false,358,621
134,KotaSai39,Naina Rathore,software developer,Software Developer,Software Engineering,reject,Problem Solving,false,332,747
135,KotaSai4,Laksha Raghav,project manager,Project Manager,Product & Business,reject,Leadership & Communication,false,428,601
136,KotaSai40,Yagna Singh,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,292,710
137,KotaSai41,Mahin Patel,software developer,Software Developer,Software Engineering,reject,Problem Solving,false,334,529
138,KotaSai42,Aanya Gupta,software developer,Software Developer,Software Engineering,select,Leadership & Communication,false,273,712
139,KotaSai43,Lahar Kumar,software developer,Software Developer,Software Engineering,select,Leadership & Communication,false,310,734
140,KotaSai44,Eashan Choudhury,data scientist,Data Scientist,Data & AI,reject,Leadership & Communication,false,449,745
141,KotaSai45,Janki Rathore,data scientist,Data Scientist,Data & AI,select,Culture & Adaptability,false,241,689
142,KotaSai46,Varsha Gupta,software developer,Software Developer,Software Engineering,reject,Technical Skills,false,335,639
143,KotaSai47,Snehal Reddy,data scientist,Data Scientist,Data & AI,reject,Leadership & Communication,false,428,607
144,KotaSai48,Kashvi Kumari,data scientist,Data Scientist,Data & AI,select,Culture & Adaptability,false,295,768
145,KotaSai49,Praneel Khandelwal,project manager,Project Manager,Product & Business,reject,Leadership & Communication,false,378,715
146,KotaSai5,Vaishnav Patel,software developer,Software Developer,Software Engineering,select,Leadership & Communication,false,406,841
147,KotaSai50,Jivin Bhatt,data scientist,Data Scientist,Data & AI,reject,Technical Skills,false,358,752
148,KotaSai51,Saanvi Jain,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,309,757
149,KotaSai52,Oni Kapoor,software developer,Software Developer,Software Engineering,reject,Technical Skills,false,453,677
150,KotaSai53,Rijul Mishra,project manager,Project Manager,Product & Business,select,Culture & Adaptability,false,297,881
151,KotaSai54,Kairav Sharma,project manager,Project Manager,Product & Business,reject,Problem Solving,false,337,561
152,KotaSai55,Ichaa Gulati,software developer,Software Developer,Software Engineering,reject,Leadership & Communication,false,433,715
153,KotaSai56,Lahar Raj,data scientist,Data Scientist,Data & AI,select,Culture & Adaptability,false,287,563
154,KotaSai57,Dipal Chowdhury,project manager,Project Manager,Product & Business,select,Culture & Adaptability,false,363,755
155,KotaSai58,Daiwik Bedi,software developer,Software Developer,Software Engineering,select,Leadership & Communication,false,281,673
156,KotaSai59,Gina Gupta,project manager,Project Manager,Product & Business,reject,Problem Solving,false,370,738
157,KotaSai6,Upasana Singh,data scientist,Data Scientist,Data & AI,select,Culture & Adaptability,false,396,727
158,KotaSai60,Ilesh Kaur,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,358,848
159,KotaSai61,Brinda Verma,data scientist,Data Scientist,Data & AI,select,Culture & Adaptability,false,344,837
160,KotaSai62,Manasi Chopra,project manager,Project Manager,Product & Business,reject,Problem Solving,false,374,746
161,KotaSai63,Ojas Pandey,data scientist,Data Scientist,Data & AI,select,Culture & Adaptability,false,369,741
162,KotaSai64,Viral Chopra,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,317,685
163,KotaSai65,Forum Chowdhury,project manager,Project Manager,Product & Business,reject,Problem Solving,false,398,592
164,KotaSai66,Zev Naidu,data scientist,Data Scientist,Data & AI,select,Culture & Adaptability,false,323,673
165,KotaSai67,Ujjwal Mittal,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,306,742
166,KotaSai68,Ovin Raghav,data scientist,Data Scientist,Data & AI,select,Culture & Adaptability,false,350,804
167,KotaSai69,Veda Soni,software developer,Software Developer,Software Engineering,reject,Technical Skills,false,358,663
168,KotaSai7,Watika Chowdhury,software developer,Software Developer,Software Engineering,select,Leadership & Communication,false,259,614
169,KotaSai70,Yashika Kumar,data scientist,Data Scientist,Data & AI,select,Culture & Adaptability,false,295,760
170,KotaSai71,Dhanvi Thakur,data scientist,Data Scientist,Data & AI,reject,Technical Skills,false,347,753
171,KotaSai72,Ehan Rathore,software developer,Software Developer,Software Engineering,reject,Technical Skills,false,469,562
172,KotaSai73,Amisha Mehta,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,365,690
173,KotaSai74,Yash Soni,data scientist,Data Scientist,Data & AI,reject,Problem Solving,false,470,749
174,KotaSai75,Hans Patel,software developer,Software Developer,Software Engineering,reject,Technical Skills,false,295,671
175,KotaSai76,Tanima Soni,project manager,Project Manager,Product & Business,reject,Problem Solving,false,350,587
176,KotaSai77,Ranjita Ghosh,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,313,763
177,KotaSai78,Larisa Nair,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,335,742
178,KotaSai79,Veda Jain,project manager,Project Manager,Product & Business,select,Culture & Adaptability,false,353,668
179,KotaSai8,Fanish Kohli,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,314,567
180,KotaSai80,Jagrav Kaur,software developer,Software Developer,Software Engineering,reject,Problem Solving,false,379,67
181,KotaSai81,Malay Gulati,data scientist,Data Scientist,Data & AI,reject,Problem Solving,false,459,625
182,KotaSai82,Tanima Seth,software developer,Software Developer,Software Engineering,reject,Problem Solving,false,372,625
183,KotaSai83,Kairav Verma,data scientist,Data Scientist,Data & AI,reject,Technical Skills,false,394,708
184,KotaSai84,Yash Sahu,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,312,941
185,KotaSai85,Grishm Desai,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,331,669
186,KotaSai86,Naina Raghav,project manager,Project Manager,Product & Business,select,Culture & Adaptability,false,321,771
187,KotaSai87,Namrata Bansal,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,379,648
188,KotaSai88,Janki Garg,data scientist,Data Scientist,Data & AI,reject,Problem Solving,false,394,686
189,KotaSai89,Brinda Chopra,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,338,668
190,KotaSai9,Kanha Ghosh,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,335,765
191,KotaSai90,Dipal Kaur,data scientist,Data Scientist,Data & AI,reject,Leadership & Communication,false,393,741
192,KotaSai91,Nirosha Ghosh,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,305,715
193,KotaSai92,Brinda Desai,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,375,707
194,KotaSai93,Zev Mittal,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,318,620
195,KotaSai94,Fanish Basu,project manager,Project Manager,Product & Business,select,Culture & Adaptability,false,310,721
196,KotaSai95,Tuhin Agarwal,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,326,850
197,KotaSai96,Eshani Sharma,data scientist,Data Scientist,Data & AI,select,Culture & Adaptability,false,342,624
198,KotaSai97,Yahvi Raj,data scientist,Data Scientist,Data & AI,reject,Problem Solving,false,446,579
199,KotaSai98,Vanshika Kapoor,data scientist,Data Scientist,Data & AI,reject,Leadership & Communication,false,495,773
200,KotaSai99,Kunal Das,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,284,628
201,U_1,Charlie,data scientist,Data Scientist,Data & AI,reject,Technical Skills,false,374,521
202,U_10,James,ui designer,UI Designer,Design,select,Experience & Domain Fit,false,409,792
203,U_100,Lucas,ui designer,UI Designer,Design,select,Experience & Domain Fit,false,350,637
204,U_101,Benjamin,ui designer,UI Designer,Design,reject,Experience & Domain Fit,false,387,576
205,U_102,Amelia,data scientist,Data Scientist,Data & AI,reject,Technical Skills,false,362,462
206,U_103,Mia,data scientist,Data Scientist,Data & AI,reject,Technical Skills,false,357,580
207,U_104,Amelia,data scientist,Data Scientist,Data & AI,select,Technical Skills,false,370,810
208,U_105,James,ui designer,UI Designer,Design,select,Experience & Domain Fit,false,317,694
209,U_106,Sophia,product manager,Product Manager,Product & Business,reject,Technical Skills,false,319,343
210,U_107,Lucas,data scientist,Data Scientist,Data & AI,reject,Experience & Domain Fit,false,347,540
211,U_108,Lily,product manager,Product Manager,Product & Business,reject,Technical Skills,false,337,617
212,U_109,Adam,data scientist,Data Scientist,Data & AI,select,Experience & Domain Fit,false,302,658
213,U_11,Zara,data scientist,Data Scientist,Data & AI,reject,Technical Skills,false,417,514
214,U_110,Adam,data scientist,Data Scientist,Data & AI,select,Technical Skills,false,437,1195
215,U_111,Olivia,ui designer,UI Designer,Design,select,Experience & Domain Fit,false,350,801
216,U_112,Benjamin,data scientist,Data Scientist,Data & AI,reject,Experience & Domain Fit,false,338,444
217,U_113,Adam,data analyst,Data Analyst,Data & AI,select,Experience & Domain Fit,false,379,915
218,U_114,Olivia,data engineer,Data Engineer,Data & AI,select,Experience & Domain Fit,false,350,630
219,U_115,Noah,software engineer,Software Engineer,Software Engineering,select,Experience & Domain Fit,false,311,695
220,U_116,Aiden,data analyst,Data Analyst,Data & AI,reject,Technical Skills,false,296,608
221,U_117,James,software engineer,Software Engineer,Software Engineering,select,Experience & Domain Fit,false,297,700
222,U_118,Lily,data engineer,Data Engineer,Data & AI,reject,Technical Skills,false,340,449
223,U_119,Ava,product manager,Product Manager,Product & Business,reject,Technical Skills,false,378,401
224,U_12,Olivia,data engineer,Data Engineer,Data & AI,reject,Technical Skills,false,358,410
225,U_120,Mason,data analyst,Data Analyst,Data & AI,select,Experience & Domain Fit,false,372,625
226,U_121,Aiden,product manager,Product Manager,Product & Business,select,Leadership & Communication,false,348,675
227,U_122,Lily,ui designer,UI Designer,Design,reject,Technical Skills,false,344,674
228,U_123,Ethan,data engineer,Data Engineer,Data & AI,reject,Experience & Domain Fit,false,489,640
229,U_124,Mia,data scientist,Data Scientist,Data & AI,select,Technical Skills,false,294,654
230,U_125,Zara,data engineer,Data Engineer,Data & AI,reject,Technical Skills,false,460,470
231,U_126,James,ui designer,UI Designer,Design,select,Experience & Domain Fit,false,289,774
232,U_127,Benjamin,product manager,Product Manager,Product & Business,reject,Experience & Domain Fit,false,339,736
233,U_128,Zara,data engineer,Data Engineer,Data & AI,reject,Technical Skills,false,363,682
234,U_129,James,product manager,Product Manager,Product & Business,select,Experience & Domain Fit,false,324,802
235,U_13,Noah,data scientist,Data Scientist,Data & AI,select,Experience & Domain Fit,false,358,823
236,U_130,Olivia,data scientist,Data Scientist,Data & AI,reject,Experience & Domain Fit,false,406,648
237,U_131,Ella,ui designer,UI Designer,Design,select,Experience & Domain Fit,false,292,758
238,U_132,James,software engineer,Software Engineer,Software Engineering,reject,Technical Skills,false,283,483
239,U_133,Amelia,software engineer,Software Engineer,Software Engineering,select,Experience & Domain Fit,false,297,818
240,U_134,Benjamin,product manager,Product Manager,Product & Business,select,Experience & Domain Fit,false,344,773
241,U_135,Jack,data scientist,Data Scientist,Data & AI,select,Experience & Domain Fit,false,382,855
242,U_136,Ethan,data analyst,Data Analyst,Data & AI,select,Experience & Domain Fit,false,358,805
243,U_137,Amelia,data engineer,Data Engineer,Data & AI,select,Experience & Domain Fit,false,348,784
244,U_138,Noah,software engineer,Software Engineer,Software Engineering,select,Experience & Domain Fit,false,326,711
245,U_139,Aiden,data scientist,Data Scientist,Data & AI,reject,Technical Skills,false,392,581
246,U_14,James,ui designer,UI Designer,Design,reject,Technical Skills,false,491,884
247,U_140,Olivia,software engineer,Software Engineer,Software Engineering,select,Experience & Domain Fit,false,337,720
248,U_141,Benjamin,data scientist,Data Scientist,Data & AI,reject,Experience & Domain Fit,false,386,523
249,U_142,Ava,product manager,Product Manager,Product & Business,reject,Technical Skills,false,397,486
250,U_143,Ethan,data engineer,Data Engineer,Data & AI,reject,Technical Skills,false,293,393
251,U_144,Adam,data scientist,Data Scientist,Data & AI,select,Technical Skills,false,345,738
252,U_145,Adam,product manager,Product Manager,Product & Business,select,Experience & Domain Fit,false,455,774
253,U_146,Zara,software engineer,Software Engineer,Software Engineering,reject,Technical Skills,false,329,608
254,U_147,Charlie,software engineer,Software Engineer,Software Engineering,reject,Technical Skills,false,390,392
255,U_148,Ava,data analyst,Data Analyst,Data & AI,reject,Experience & Domain Fit,false,391,417
256,U_149,James,product manager,Product Manager,Product & Business,reject,Experience & Domain Fit,false,313,469
257,U_15,James,data engineer,Data Engineer,Data & AI,select,Experience & Domain Fit,false,310,607
258,U_150,Noah,product manager,Product Manager,Product & Business,select,Experience & Domain Fit,false,409,656
259,U_151,Priya,data analyst,Data Analyst,Data & AI,select,Experience & Domain Fit,false,378,800
260,U_152,Adam,data engineer,Data Engineer,Data & AI,reject,Technical Skills,false,288,517
261,U_153,Olivia,data analyst,Data Analyst,Data & AI,select,Experience & Domain Fit,false,356,963
262,U_154,Mia,product manager,Product Manager,Product & Business,select,Experience & Domain Fit,false,371,935
263,U_155,Olivia,ui designer,UI Designer,Design,select,Experience & Domain Fit,false,269,886
264,U_156,Olivia,software engineer,Software Engineer,Software Engineering,select,Experience & Domain Fit,false,280,662
265,U_157,Lily,data engineer,Data Engineer,Data & AI,reject,Technical Skills,false,430,454
266,U_158,Emily,data analyst,Data Analyst,Data & AI,select,Experience & Domain Fit,false,350,765
267,U_159,Ava,data engineer,Data Engineer,Data & AI,reject,Technical Skills,false,278,457
268,U_16,Zara,ui designer,UI Designer,Design,reject,Technical Skills,false,316,453
269,U_160,Lily,product manager,Product Manager,Product & Business,select,Experience & Domain Fit,false,315,637
270,U_161,Noah,software engineer,Software Engineer,Software Engineering,reject,Technical Skills,false,307,412
271,U_162,Noah,data scientist,Data Scientist,Data & AI,select,Experience & Domain Fit,false,392,905
272,U_163,Lily,data scientist,Data Scientist,Data & AI,select,Experience & Domain Fit,false,388,793
273,U_164,Amelia,data analyst,Data Analyst,Data & AI,reject,Experience & Domain Fit,false,430,476
274,U_165,Emily,ui designer,UI Designer,Design,reject,Technical Skills,false,364,429
275,U_166,Priya,data scientist,Data Scientist,Data & AI,reject,Technical Skills,false,356,560
276,U_167,Benjamin,data engineer,Data Engineer,Data & AI,select,Experience & Domain Fit,false,335,669
